nbreheures1904	date utc	heure utc	date locale	heure locale	tsl	t	err t	td	err td	hr	err hr	vv	err vv	vd	err vd	psta	err psta	rf1e	err rf1e
h utc	date utc	heure loc	date loc	heure	HAE/HNE	C	Err	C	Err	0-100	Err	km/h	Err	0-360	Err	hPa	Err	kJ/m2/h	Err
1060710	01/01/2025	06	01/01/2025	01	HNE	0,7	0	-0,9	0	89,0	0	5,0	0	60,0	0	991,227	5.k=1.moyenne	0,0	ERA5
1060711	01/01/2025	07	01/01/2025	02	HNE	0,7	0	-0,9	0	89,0	0	7,0	0	40,0	0	991,364	5.k=1.moyenne	0,0	ERA5
1060712	01/01/2025	08	01/01/2025	03	HNE	0,6	0	-0,8	0	91,0	0	6,0	0	30,0	0	991,078	5.k=1.moyenne	0,0	ERA5
1060713	01/01/2025	09	01/01/2025	04	HNE	1,0	0	-0,7	0	89,0	0	8,0	0	20,0	0	990,987	5.k=1.moyenne	0,0	ERA5
1060714	01/01/2025	10	01/01/2025	05	HNE	0,8	0	-0,6	0	90,0	0	6,0	0	20,0	0	990,493	5.k=1.moyenne	0,0	ERA5
1060715	01/01/2025	11	01/01/2025	06	HNE	0,7	0	-0,5	0	92,0	0	7,0	0	200,0	0	990,47	5.k=1.moyenne	0,0	ERA5
1060716	01/01/2025	12	01/01/2025	07	HNE	0,5	0	0,1	0	97,0	0	5,0	0	360,0	0	989,944	5.k=1.moyenne	0,0	ERA5
1060717	01/01/2025	13	01/01/2025	08	HNE	0,4	0	0,1	0	97,0	0	3,0	0	40,0	0	989,57	5.k=1.moyenne	4,0	ERA5
1060718	01/01/2025	14	01/01/2025	09	HNE	0,8	0	0,5	0	98,0	0	7,0	0	30,0	0	989,365	5.k=1.moyenne	51,9	ERA5
1060719	01/01/2025	15	01/01/2025	10	HNE	1,4	0	1,1	0	98,0	0	8,0	0	40,0	0	989,077	5.k=1.moyenne	101,8	ERA5
1060720	01/01/2025	16	01/01/2025	11	HNE	1,6	0	1,1	0	97,0	0	5,0	0	40,0	0	988,146	5.k=1.moyenne	121,7	ERA5
1060721	01/01/2025	17	01/01/2025	12	HNE	1,4	0	1,0	0	97,0	0	7,0	0	30,0	0	987,048	5.k=1.moyenne	223,6	ERA5
1060722	01/01/2025	18	01/01/2025	13	HNE	1,9	0	1,5	0	97,0	0	9,0	0	50,0	0	986,119	5.k=1.moyenne	305,2	ERA5
1060723	01/01/2025	19	01/01/2025	14	HNE	2,2	0	1,7	0	96,0	0	5,0	0	40,0	0	985,545	5.k=1.moyenne	170,2	ERA5
1060724	01/01/2025	20	01/01/2025	15	HNE	2,3	0	1,9	0	97,0	0	1,0	0	250,0	0	985,409	5.k=1.moyenne	185,1	ERA5
1060725	01/01/2025	21	01/01/2025	16	HNE	1,8	0	1,4	0	98,0	0	4,0	0	270,0	0	985,045	5.k=1.moyenne	79,6	ERA5
1060726	01/01/2025	22	01/01/2025	17	HNE	1,4	0	1,2	0	98,0	0	9,0	0	270,0	0	984,536	5.k=1.moyenne	3,3	ERA5
1060727	01/01/2025	23	01/01/2025	18	HNE	0,5	0	0,2	0	98,0	0	11,0	0	260,0	0	984,049	5.k=1.moyenne	0,0	ERA5
1060728	02/01/2025	00	01/01/2025	19	HNE	0,6	0	0,2	0	98,0	0	8,0	0	260,0	0	983,687	5.k=1.moyenne	0,0	ERA5
1060729	02/01/2025	01	01/01/2025	20	HNE	0,7	0	0,1	0	96,0	0	18,0	0	260,0	0	983,076	5.k=1.moyenne	0,0	ERA5
1060730	02/01/2025	02	01/01/2025	21	HNE	0,8	0	0,15	4.lineaire	95,0	0	18,0	0	260,0	0	982,299	5.k=1.moyenne	0,0	ERA5
1060731	02/01/2025	03	01/01/2025	22	HNE	0,8	0	0,2	0	95,0	0	16,0	0	260,0	0	981,564	5.k=1.moyenne	0,0	ERA5
1060732	02/01/2025	04	01/01/2025	23	HNE	1,0	0	-0,15	4.lineaire	93,0	0	15,0	0	260,0	0	980,788	5.k=1.moyenne	0,0	ERA5
1060733	02/01/2025	05	02/01/2025	00	HNE	0,7	0	-0,5	0	92,0	0	27,0	0	260,0	0	979,991	5.k=1.moyenne	0,0	ERA5
1060734	02/01/2025	06	02/01/2025	01	HNE	0,4	0	-0,9	0	91,0	0	26,0	0	260,0	0	979,991	5.k=1.moyenne	0,0	ERA5
1060735	02/01/2025	07	02/01/2025	02	HNE	0,0	4.lineaire	-1,4	0	90,0	0	27,0	0	260,0	0	979,558	5.k=1.moyenne	0,0	ERA5
1060736	02/01/2025	08	02/01/2025	03	HNE	-0,4	0	-2,0	0	89,0	0	25,0	0	260,0	0	979,275	5.k=1.moyenne	0,0	ERA5
1060737	02/01/2025	09	02/01/2025	04	HNE	-1,0	0	-2,2	0	91,0	0	24,0	0	270,0	0	978,685	5.k=1.moyenne	0,0	ERA5
1060738	02/01/2025	10	02/01/2025	05	HNE	-1,2	0	-2,7	0	90,0	0	21,0	0	260,0	0	978,14	5.k=1.moyenne	0,0	ERA5
1060739	02/01/2025	11	02/01/2025	06	HNE	-1,2	0	-3,5	0	84,0	0	22,0	0	270,0	0	978,036	5.k=1.moyenne	0,0	ERA5
1060740	02/01/2025	12	02/01/2025	07	HNE	-1,4	0	-4,0	0	82,0	0	23,0	0	270,0	0	978,061	5.k=1.moyenne	0,0	ERA5
1060741	02/01/2025	13	02/01/2025	08	HNE	-1,3	0	-4,9	0	77,0	0	29,0	0	280,0	0	977,839	5.k=1.moyenne	7,5	ERA5
1060742	02/01/2025	14	02/01/2025	09	HNE	-1,2	0	-4,8	0	77,0	0	27,0	0	280,0	0	978,078	5.k=1.moyenne	127,8	ERA5
1060743	02/01/2025	15	02/01/2025	10	HNE	-1,2	0	-5,1	0	74,0	0	28,0	0	270,0	0	978,132	5.k=1.moyenne	280,9	ERA5
1060744	02/01/2025	16	02/01/2025	11	HNE	-1,0	0	-5,1	0	73,0	0	21,0	0	270,0	0	977,543	5.k=1.moyenne	438,8	ERA5
1060745	02/01/2025	17	02/01/2025	12	HNE	-0,9	0	-5,7	0	70,0	0	22,0	0	270,0	0	977,019	5.k=1.moyenne	598,8	ERA5
1060746	02/01/2025	18	02/01/2025	13	HNE	-0,9	0	-5,9	0	68,0	0	31,0	0	270,0	0	976,892	5.k=1.moyenne	477,8	ERA5
1060747	02/01/2025	19	02/01/2025	14	HNE	-0,7	0	-6,1	0	67,0	0	29,0	0	270,0	0	977,038	5.k=1.moyenne	415,4	ERA5
1060748	02/01/2025	20	02/01/2025	15	HNE	-0,9	0	-5,3	0	72,0	0	26,0	0	260,0	0	977,332	5.k=1.moyenne	314,6	ERA5
